text_k1,text_b,text_w,title_w,anchor_w,pr_w,pv_w,query,duration,quality
0.1,0,0,0.1,0,0,0,Human Genome Project DNA mapping,2.897585392,0.25
0.1,0,0,0.1,0,0,0,Italian pasta varieties and recipes,2.071120739,0.00
0.1,0,0,0.1,0,0,0,Street food around the world,3.536757231,0.09
0.1,0,0,0.1,0,0,0,Surrealism art Salvador Dalí,2.268452406,0.28
0.1,0,0,0.1,0,0,0,Mediterranean diet health benefits,2.167948008,0.07
0.1,0,0,0.1,0,0,0,Civil Rights Movement 1960s protests,3.599513292,0.30
0.1,0,0,0.1,0,0,0,Manhattan Project atomic bomb,1.849865675,0.13
0.1,0,0,0.1,0,0,0,Cheese types and production,1.58184123,0.11
0.1,0,0,0.1,0,0,0,Anime history Japan Studio Ghibli,2.825367689,0.12
0.1,0,0,0.1,0,0,0,Berlin Wall fall reunification,2.112426281,0.15
0.1,0,0,0.1,0,0,0,Sushi origins Japan,1.583082199,0.00
0.1,0,0,0.1,0,0,0,World War I causes consequences,4.187241554,0.12
0.1,0,0,0.1,0,0,0,Higgs Boson discovery physics,1.79391551,0.11
0.1,0,0,0.1,0,0,0,Golden Age of Hollywood films,3.293667793,0.13
0.1,0,0,0.1,0,0,0,Byzantine Empire Constantinople history,1.377185822,0.29
0.1,0,0,0.1,0,0,0,Turing Machine early computing,2.038337231,0.13
0.1,0,0,0.1,0,0,0,Theory of Relativity Einstein,1.360611916,0.23
0.1,0,0,0.1,0,0,0,Mobile phone technology evolution,1.760821581,0.14
0.1,0,0,0.1,0,0,0,History of chocolate production,1.055413485,0.00
0.1,0,0,0.1,0,0,0,Apollo 11 moon landing 1969,2.199669123,0.16
0.1,0,0,0.1,0,0,0,Gothic architecture medieval cathedrals,1.57612443,0.52
0.1,0,0,0.1,0,0,0,Russian Revolution 1917 Bolsheviks,1.795132637,0.00
0.1,0,0,0.1,0,0,0,Academy Awards history Oscars,3.295997143,0.00
0.1,0,0,0.1,0,0,0,Fermentation food preservation techniques,1.72567749,0.19
0.1,0,0,0.1,0,0,0,History of pizza Italian cuisine,1.75842452,0.08
0.1,0,0,0.1,0,0,0,French cuisine traditional dishes,1.859487057,0.08
0.1,0,0,0.1,0,0,0,Endangered species conservation efforts,2.150392056,0.10
0.1,0,0,0.1,0,0,0,Greek mythology Western culture,2.272157192,0.23
0.1,0,0,0.1,0,0,0,Cold War proxy conflicts,2.656038284,0.14
0.1,0,0,0.1,0,0,0,Nelson Mandela apartheid biography,1.625350952,0.30
0.1,0,0,0.35,0,0,0,Human Genome Project DNA mapping,2.194533587,0.25
0.1,0,0,0.35,0,0,0,Italian pasta varieties and recipes,1.736675024,0.00
0.1,0,0,0.35,0,0,0,Street food around the world,3.528769255,0.09
0.1,0,0,0.35,0,0,0,Surrealism art Salvador Dalí,2.401585579,0.28
0.1,0,0,0.35,0,0,0,Mediterranean diet health benefits,1.784944057,0.07
0.1,0,0,0.35,0,0,0,Civil Rights Movement 1960s protests,3.257845163,0.30
0.1,0,0,0.35,0,0,0,Manhattan Project atomic bomb,1.557862282,0.13
